traditional	simplified	pinyin	language	definition	source	source_page	part_of_speech
亞美尼亞	亚美尼亚	Ya4 mei3 ni2 ya4	fr	Arménie	Pangmao		proper noun
荷蘭語	荷兰语	He2 lan2 yu3	fr	néerlandais; langue néerlandaise	Pangmao		noun
鎖門	锁门	suo3 men2	fr	verrouiller une porte; fermer à clé	Pangmao		verb
拉丁語	拉丁语	La1 ding1 yu3	fr	latin; langue latine	Pangmao		noun
橙汁	橙汁	cheng2 zhi1	fr	jus d'orange	Pangmao		noun
鋼琴家	钢琴家	gang1 qin2 jia1	fr	pianiste	Pangmao		noun
阿爾及爾	阿尔及尔	A1 er3 ji2 er3	fr	Alger, capitale de l'Algérie	Pangmao		proper noun
駕駛執照	驾驶执照	jia4 shi3 zhi2 zhao4	fr	permis de conduire	Pangmao		noun
中國菜	中国菜	Zhong1 guo2 cai4	fr	cuisine chinoise	Pangmao		noun
素食主義	素食主义	su4 shi2 zhu3 yi4	fr	végétarisme	Pangmao		noun
繞	绕	rao4	fr	enrouler; bobiner	Pangmao		verb
繞	绕	rao4	fr	tourner autour; décrire une spirale	Pangmao		verb
繞	绕	rao4	fr	contourner; faire un détour; éviter un obstacle	Pangmao		verb
繞	绕	rao4	fr	embrouiller; déconcerter	Pangmao		verb
長頸鹿	长颈鹿	chang2 jing3 lu4	fr	girafe	Pangmao		noun
哺乳動物	哺乳动物	bu3 ru3 dong4 wu4	fr	mammifère	Pangmao		noun
學友	学友	xue2 you3	fr	camarade d'école; camarade de classe	Pangmao		noun
星期幾	星期几	xing1 qi1 ji3	fr	quel jour de la semaine ?	Pangmao		pronoun
傑	杰	jie2	fr	héros; personne exceptionnelle	Pangmao		noun
傑	杰	jie2	fr	héroïque; remarquable; éminent; distingué	Pangmao		adjective
砂糖	砂糖	sha1 tang2	fr	sucre en poudre; sucre semoule; sucre granulé	Pangmao		noun
非常感謝	非常感谢	fei1 chang2 gan3 xie4	fr	merci beaucoup !	Pangmao		interjection
非常感謝	非常感谢	fei1 chang2 gan3 xie4	fr	être très reconnaissant	Pangmao		phrase
下一次	下一次	xia4 yi1 ci4	fr	la prochaine fois	Pangmao		noun
團	团	tuan2	fr	rond; en boule	Pangmao		adjective
團	团	tuan2	fr	mettre en boule; se rassembler	Pangmao		verb
團	团	tuan2	fr	groupe; organisation; société	Pangmao		noun
團	团	tuan2	fr	régiment	Pangmao		noun
團	团	tuan2	fr	classificateur des masses ou des objets souples formant un amas	Pangmao		classifier
奇數	奇数	ji1 shu4	fr	nombre impair	Pangmao		noun
早上好	早上好	zao3 shang5 hao3	fr	bonjour ! (le matin)	Pangmao		interjection
自行車道	自行车道	zi4 xing2 che1 dao4	fr	piste cyclable; voie cyclable	Pangmao		noun
酸雨	酸雨	suan1 yu3	fr	pluie acide	Pangmao		noun
閒聊	闲聊	xian2 liao2	fr	bavarder; discuter de manière informelle	Pangmao		verb
閒聊	闲聊	xian2 liao2	fr	conversation informelle	Pangmao		noun
阿里	阿里	A1 li3	fr	Ali (nom propre)	Pangmao		proper noun
阿里	阿里	A1 li3	fr	Ali ibn Abi Talib, quatrième calife de l'islam	Pangmao		proper noun
阿里	阿里	A1 li3	fr	abréviation d'Alibaba	Pangmao		proper noun
阿里	阿里	A1 li3	fr	district d'Ali, au Tibet	Pangmao		proper noun
須	须	xu1	fr	devoir; falloir	Pangmao		verb
須	须	xu1	fr	attendre (littéraire)	Pangmao		verb
